Dirección,Territorio (1 al 7),Coordenadas (click derecho en maps),Nombre,Categoría,Subcategoría?,Icono (JPG o PNG),Link (si aplica),Foto (Si aplica)**,Descripción
Por Haydn hasta antes de llegar Franz Schubert,1,"-33.48230504952548, -70.62466571743529",,Desarrollo Urbano,,,,,-Ejecutado 2024 Proy. “Iluminemos San Joaquín” (SPD)
Por Haydn a la altura de  Mozart,1,"-33.481471190079496, -70.62490072471466",,Desarrollo Urbano,,,,,-Ejecutado 2024 Proy. “Iluminemos San Joaquín” (SPD)
Pasaje el Canelo,1,"-33.47738584730071, -70.6361937071993",,Desarrollo Urbano,,,,,-Ejecutado 2024 Proy. “Iluminemos San Joaquín” (SPD)
Pasaje Las Melosas ,1,"-33.47819382178816, -70.63314469825545",,Desarrollo Urbano,,,,,-Ejecutado 2024 Proy. “Iluminemos San Joaquín” (SPD)
Pasaje Lo Valdes,1,"-33.4784450723705, -70.63355643288455",,Desarrollo Urbano,,,,,-Ejecutado 2024 Proy. “Iluminemos San Joaquín” (SPD)
Vicuña Mackenna,1,"-33.48528787025722, -70.62036305021672",,Desarrollo Urbano,,,,,Recambio lumínico Eje Sta Rosa (Subdere)
,1,"-33.485516655688684, -70.62031839439052",,Desarrollo Urbano,,,,,Recambio lumínico Eje Sta Rosa (Subdere)
,1,"-33.48682018905987, -70.61937424263036",,Desarrollo Urbano,,,,,#¿NOMBRE?
,1,"-33.48732563551007, -70.61885113150946",,Desarrollo Urbano,,,,,Recambio lumínico Eje Sta Rosa (Subdere)
Sierra Bella (Plaza Isabel Riquelme),1,"-33.48253738677336, -70.6318368345598",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,, Incendio de Rukos -Incendio fabrica de jabon
Sierra Bella (Plaza Isabel Riquelme),1,"-33.48293254818476, -70.63347058084727",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,, Incendio de Rukos -Incendio fabrica de jabon
Lira con Pintor Cicarelli,1,"-33.47611989667434, -70.63132128068649",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,"Accidente Electrico provocado por incendios, quema de auto, choque de camión con 2  postes de luz."
(Cercano a) Lira con Carlos Vildosola,1,"-33.47733649142543, -70.6310556712353",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,"Accidente Electrico provocado por incendios, quema de auto, choque de camión con 2  postes de luz."
(Cercano a) Carlos Fernandez Concha con Ignacio Valdivieso,1,"-33.473706809801044, -70.62846330646484",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,"Accidente Electrico provocado por incendios, quema de auto, choque de camión con 2  postes de luz."
Av. Carlos Valdovinos (Cercano a vicuña mackena),1,"-33.48723646215157, -70.61905351057214",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,"Accidente Electrico provocado por incendios, quema de auto, choque de camión con 2  postes de luz."
Sierra Bella (Plaza Isabel Riquelme),1,"-33.48288747974871, -70.63304304937623",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,Desalojo en Zanjón y operativo de emergencia-Desalojo de personas violentas y con adicciones.
(Zanjon) Av. las industrias con ,1,"-33.48142493782473, -70.630444452892",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,Desalojo en Zanjón y operativo de emergencia-Desalojo de personas violentas y con adicciones.
Av. Isabel Riquelme con Las Flores,1,"-33.48421321628938, -70.62511580653279",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,Caída de arboles y Caída de ramas
Av. Vicuña Mackenna con Mozart,1,"-33.48027944587378, -70.62174435374372",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,Caída de arboles y Caída de ramas
Av. Vicuña Mackenna con Tchaikovski,1,"-33.4765612164186, -70.62278006195329",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,Caída de arboles y Caída de ramas
Diagonal Santa Elena con Cascanueces,1,"-33.477228308656784, -70.6235915309163",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,Caída de arboles y Caída de ramas
Santa Elena (Plaza Valdivieso llegando a Pintor Cicarelli),1,"-33.47477806770958, -70.62563565347952",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,Caída de arboles y Caída de ramas
Diagonal Santa Elena (Cercano a Palestrina),1,"-33.47548639346771, -70.62623954465269",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,Caída de arboles y Caída de ramas
Diagonal Santa Elena (Cercano a Debussy),1,"-33.477429996650024, -70.6280842606566",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,Caída de arboles y Caída de ramas
Entre Diagonal Santa Elena con Pintor Cicarelli (en dirección a vicuña mackenna),1,"-33.475835385349185, -70.6273067341824",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,Caída de arboles y Caída de ramas
Direccion no esta clara,1,"-33.477598467288644, -70.63760014406881",,Pendiente,,Pendiente de Creación ,,,Caída de arboles y Caída de ramas
Direccion no esta clara,1,"-33.47782409355299, -70.63774584333243",,Pendiente,,Pendiente de Creación ,,,Suspension de agua
Enrique Soro (Falta número de dirección),1,"-33.48268516476262, -70.62744659441114",Atencion de Emergencía DRGD,Seguridad,,Pendiente de Creación ,,,"-Mesa territorial T1; realizada por Dirección de Gestión de Riesgo de desastres (DGRD), Sede Social Pobl. I. Riquelme"
